market_segment,channel_used,campaign_type,impressions,clicks,conversion_rate,roi,acquisition_cost
Outdoor Adventurers,YouTube,Social Media,7269,122,0.0,0.046,11166
Outdoor Adventurers,Instagram,Search,3181,378,0.0,0.075,12160
Foodies,Website,Email,6767,287,0.001,0.061,14904
Foodies,YouTube,Social Media,9778,757,0.0,0.052,5255
Fashionistas,Google Ads,Social Media,9163,425,0.0,0.029,6820
Tech Enthusiasts,Website,Email,9179,562,0.001,0.027,13731
Health & Wellness,Email,Email,9615,641,0.001,0.039,8509
Tech Enthusiasts,Facebook,Search,6099,216,0.0,0.066,17065
Foodies,Email,Search,9333,129,0.001,0.044,8550
Tech Enthusiasts,YouTube,Social Media,7387,928,0.0,0.052,5923
Foodies,Website,Influencer,2898,334,0.0,0.076,6790
Foodies,Google Ads,Display,7931,354,0.001,0.044,12540
Foodies,Website,Social Media,4814,563,0.0,0.053,14316
Health & Wellness,Facebook,Social Media,9092,858,0.0,0.05,11591
Foodies,Email,Influencer,9282,876,0.001,0.044,11947
Health & Wellness,Facebook,Email,8509,239,0.0,0.058,13757
Foodies,Website,Social Media,7567,548,0.001,0.066,14691
Outdoor Adventurers,Google Ads,Email,8337,555,0.001,0.076,18179
Foodies,Email,Influencer,9136,313,0.0,0.027,17892
Health & Wellness,YouTube,Search,6168,131,0.001,0.076,7473
Foodies,Email,Search,8667,318,0.001,0.027,17261
Outdoor Adventurers,Google Ads,Social Media,7435,678,0.001,0.041,14929
Outdoor Adventurers,Instagram,Social Media,3452,532,0.001,0.023,18026
Outdoor Adventurers,Website,Search,1039,225,0.0,0.029,17217
Health & Wellness,Instagram,Search,8920,694,0.0,0.064,19731
Tech Enthusiasts,Google Ads,Social Media,7348,788,0.001,0.024,13518
Tech Enthusiasts,YouTube,Social Media,9876,177,0.0,0.026,8566
Health & Wellness,Website,Influencer,5249,177,0.0,0.077,6937
Foodies,Instagram,Influencer,9809,910,0.001,0.055,10577
Outdoor Adventurers,Google Ads,Display,9214,800,0.0,0.058,11857
Health & Wellness,Email,Influencer,1450,859,0.0,0.044,13021
Foodies,Google Ads,Social Media,8407,563,0.001,0.056,11089
Tech Enthusiasts,Website,Email,4233,556,0.0,0.033,9385
Outdoor Adventurers,Website,Social Media,3501,527,0.001,0.029,7237
Foodies,Email,Influencer,3066,366,0.0,0.032,16875
Foodies,Google Ads,Social Media,3840,375,0.0,0.024,9343
Foodies,YouTube,Display,1922,122,0.0,0.059,6226
Outdoor Adventurers,Instagram,Influencer,2270,419,0.001,0.025,7289
Health & Wellness,Email,Display,7325,674,0.001,0.076,16092
Tech Enthusiasts,Website,Display,9018,917,0.001,0.068,17159
Fashionistas,YouTube,Influencer,8071,471,0.002,0.035,15629
Foodies,Facebook,Email,1709,524,0.001,0.021,5434
Tech Enthusiasts,Instagram,Social Media,9776,868,0.001,0.025,10496
Foodies,Email,Influencer,3651,647,0.0,0.038,19037
Outdoor Adventurers,Website,Display,1516,643,0.0,0.052,5861
Outdoor Adventurers,Website,Display,2917,546,0.001,0.074,15742
Health & Wellness,Google Ads,Email,4123,547,0.0,0.022,17739
Outdoor Adventurers,Google Ads,Search,5584,712,0.001,0.032,11573
Outdoor Adventurers,Instagram,Email,1467,399,0.001,0.037,13882
Outdoor Adventurers,Google Ads,Email,2337,695,0.0,0.033,14828
Foodies,YouTube,Search,2809,387,0.001,0.028,8836
Fashionistas,Website,Search,7319,998,0.002,0.024,8199
Health & Wellness,Google Ads,Influencer,3820,456,0.001,0.06,7004
Tech Enthusiasts,Website,Influencer,6898,381,0.002,0.057,14596
Foodies,Instagram,Influencer,2207,327,0.001,0.056,12424
Tech Enthusiasts,Email,Display,6275,448,0.001,0.028,19778
Tech Enthusiasts,Email,Email,2712,998,0.001,0.078,11592
Foodies,Email,Search,3007,836,0.0,0.068,11575
Health & Wellness,Website,Email,8544,896,0.001,0.071,16397
Health & Wellness,Website,Search,5954,386,0.0,0.04,7023
Tech Enthusiasts,Instagram,Display,4884,510,0.001,0.035,19417
Tech Enthusiasts,Facebook,Influencer,1443,151,0.001,0.056,6367
Tech Enthusiasts,Google Ads,Influencer,3131,985,0.0,0.037,5573
Tech Enthusiasts,YouTube,Display,8492,283,0.001,0.023,17651
Tech Enthusiasts,Instagram,Social Media,4411,410,0.001,0.066,6126
Outdoor Adventurers,Instagram,Influencer,8979,835,0.0,0.052,11268
Outdoor Adventurers,YouTube,Social Media,1855,970,0.001,0.05,18683
Health & Wellness,YouTube,Email,7148,876,0.001,0.028,12180
Outdoor Adventurers,YouTube,Influencer,7558,905,0.001,0.029,13914
Fashionistas,YouTube,Display,4732,979,0.001,0.047,7602
Tech Enthusiasts,Instagram,Social Media,2043,303,0.001,0.04,13952
Fashionistas,Email,Social Media,4697,742,0.001,0.056,5733
Health & Wellness,Website,Influencer,8943,965,0.001,0.072,9709
Foodies,Google Ads,Display,4806,516,0.001,0.036,18429
Fashionistas,Email,Display,9306,405,0.001,0.075,7058
Outdoor Adventurers,Email,Social Media,7978,483,0.0,0.059,5758
Fashionistas,Instagram,Display,6573,912,0.001,0.025,8508
Outdoor Adventurers,Website,Influencer,9309,965,0.001,0.075,19414
Foodies,Instagram,Influencer,4236,339,0.0,0.068,14562
Outdoor Adventurers,Website,Display,6414,902,0.001,0.027,7371
Tech Enthusiasts,Website,Search,4065,913,0.001,0.056,6149
Foodies,Website,Social Media,4878,502,0.0,0.079,8204
Fashionistas,YouTube,Display,1638,983,0.001,0.058,11938
Health & Wellness,Facebook,Social Media,8593,442,0.001,0.022,9792
Health & Wellness,Email,Display,5346,477,0.001,0.021,6456
Health & Wellness,Facebook,Social Media,8653,212,0.001,0.062,7209
Health & Wellness,Website,Display,2396,604,0.001,0.056,7410
Health & Wellness,Google Ads,Search,3043,804,0.001,0.04,11310
Tech Enthusiasts,Facebook,Social Media,9759,538,0.0,0.066,12094
Outdoor Adventurers,Facebook,Social Media,3311,364,0.0,0.047,9918
Outdoor Adventurers,YouTube,Email,5127,447,0.001,0.057,8862
Tech Enthusiasts,Instagram,Email,7343,273,0.001,0.028,8689
Tech Enthusiasts,YouTube,Influencer,9960,182,0.001,0.036,5416
Health & Wellness,Facebook,Email,3343,471,0.0,0.029,5076
Tech Enthusiasts,Instagram,Influencer,3205,455,0.0,0.048,16387
Fashionistas,YouTube,Email,3352,439,0.0,0.044,15464
Foodies,Email,Influencer,7887,610,0.0,0.041,16341
Tech Enthusiasts,Website,Social Media,9604,873,0.0,0.025,6277
Fashionistas,YouTube,Search,9811,728,0.001,0.034,19510
Foodies,YouTube,Social Media,2750,752,0.002,0.077,10406
Outdoor Adventurers,YouTube,Search,2615,566,0.002,0.022,10306
Outdoor Adventurers,Instagram,Email,3627,389,0.001,0.039,6832
Health & Wellness,Website,Social Media,2056,653,0.001,0.063,8971
Health & Wellness,Email,Social Media,9996,948,0.0,0.046,13517
Foodies,Email,Search,2876,459,0.001,0.052,8779
Health & Wellness,Email,Email,2723,380,0.001,0.031,18016
Fashionistas,Facebook,Influencer,5014,935,0.001,0.028,17245
Outdoor Adventurers,YouTube,Search,2283,933,0.0,0.054,14791
Outdoor Adventurers,Website,Display,5607,855,0.001,0.046,13297
Outdoor Adventurers,Instagram,Search,6300,415,0.001,0.056,7161
Fashionistas,Google Ads,Influencer,6508,489,0.001,0.073,19397
Tech Enthusiasts,Google Ads,Social Media,1651,812,0.001,0.033,5875
Foodies,Instagram,Display,4814,567,0.0,0.069,15269
Health & Wellness,YouTube,Social Media,6029,769,0.001,0.071,18258
Outdoor Adventurers,Google Ads,Influencer,7680,352,0.0,0.049,6907
Outdoor Adventurers,YouTube,Email,1675,193,0.001,0.028,6179
Outdoor Adventurers,Website,Social Media,1915,514,0.0,0.059,19129
Tech Enthusiasts,YouTube,Display,8700,318,0.0,0.074,5318
Fashionistas,Facebook,Search,5616,294,0.0,0.077,9702
Fashionistas,Google Ads,Display,1852,505,0.001,0.023,10289
Foodies,Instagram,Search,4079,643,0.001,0.037,18517
Fashionistas,Email,Influencer,5646,847,0.001,0.05,15463
Foodies,Instagram,Social Media,9708,603,0.0,0.025,7294
Tech Enthusiasts,Facebook,Search,1888,385,0.001,0.054,13841
Outdoor Adventurers,Facebook,Social Media,7386,228,0.001,0.022,8757
Tech Enthusiasts,Website,Social Media,9274,670,0.0,0.047,14042
Tech Enthusiasts,Instagram,Search,1670,275,0.002,0.067,17965
Fashionistas,Website,Search,6147,486,0.0,0.044,15143
Tech Enthusiasts,YouTube,Social Media,3342,980,0.001,0.043,5326
Fashionistas,Email,Social Media,5487,611,0.0,0.047,5272
Foodies,Instagram,Email,3341,865,0.0,0.063,16131
Fashionistas,Google Ads,Display,2599,627,0.001,0.055,7242
Fashionistas,Website,Email,5994,498,0.001,0.035,18623
Health & Wellness,Google Ads,Search,5476,889,0.001,0.068,19021
Fashionistas,Instagram,Display,3399,963,0.001,0.036,7156
Outdoor Adventurers,Email,Social Media,8428,749,0.001,0.022,12175
Foodies,Facebook,Email,1917,906,0.001,0.027,19624
Outdoor Adventurers,Website,Display,4313,335,0.001,0.03,6843
Tech Enthusiasts,Facebook,Display,7223,762,0.001,0.045,14348
Fashionistas,Google Ads,Social Media,1992,127,0.001,0.021,13347
Foodies,Google Ads,Search,1569,781,0.001,0.026,13599
Fashionistas,Website,Email,9563,832,0.001,0.075,5768
Foodies,Facebook,Social Media,2618,247,0.001,0.025,17652
Foodies,Website,Influencer,2715,597,0.0,0.055,7521
Tech Enthusiasts,Website,Search,4313,314,0.001,0.076,9776
Fashionistas,Facebook,Influencer,4529,983,0.0,0.05,7686
Fashionistas,Instagram,Search,7709,255,0.001,0.023,8524
Fashionistas,Website,Display,3070,492,0.0,0.068,6223
Health & Wellness,Instagram,Influencer,7157,432,0.001,0.065,11010
Fashionistas,YouTube,Search,3445,951,0.001,0.051,15827
Outdoor Adventurers,Facebook,Social Media,2433,526,0.001,0.078,5823
Health & Wellness,Facebook,Display,5321,198,0.001,0.079,16042
Outdoor Adventurers,Instagram,Search,7815,867,0.001,0.022,5293
Fashionistas,Facebook,Influencer,2307,145,0.0,0.041,7337
Health & Wellness,Instagram,Search,2770,504,0.001,0.076,7439
Health & Wellness,YouTube,Influencer,2181,461,0.0,0.04,14199
Foodies,Email,Email,7562,868,0.001,0.059,5034
Tech Enthusiasts,YouTube,Email,5098,857,0.0,0.034,7401
Tech Enthusiasts,YouTube,Social Media,9803,260,0.001,0.073,11448
Fashionistas,Website,Search,4052,502,0.0,0.042,18492
Outdoor Adventurers,YouTube,Influencer,1826,817,0.001,0.073,17477
Foodies,Facebook,Social Media,1279,233,0.001,0.06,16678
Tech Enthusiasts,Facebook,Social Media,9310,904,0.0,0.072,7704
Foodies,Facebook,Influencer,1588,487,0.001,0.04,17898
Health & Wellness,YouTube,Email,7489,787,0.001,0.03,13358
Fashionistas,Email,Influencer,2366,157,0.001,0.038,6340
Tech Enthusiasts,Google Ads,Display,7650,811,0.001,0.03,5613
Outdoor Adventurers,Instagram,Social Media,5875,223,0.001,0.048,8979
Tech Enthusiasts,Email,Search,1826,423,0.001,0.076,8040
Foodies,Facebook,Social Media,3446,757,0.001,0.037,19662
Fashionistas,Google Ads,Social Media,8929,733,0.002,0.074,19176
Fashionistas,Instagram,Influencer,8681,447,0.0,0.049,6564
Foodies,Email,Search,7634,433,0.002,0.037,19043
Foodies,Facebook,Email,3540,691,0.001,0.049,18332
Fashionistas,Email,Search,1222,871,0.002,0.064,17317
Tech Enthusiasts,Website,Email,5984,416,0.001,0.047,14569
Fashionistas,Google Ads,Email,3231,914,0.001,0.076,14532
Foodies,Google Ads,Email,5684,420,0.001,0.032,6408
Health & Wellness,Facebook,Display,8011,289,0.001,0.079,9118
Fashionistas,Facebook,Search,1035,890,0.0,0.028,15227
Tech Enthusiasts,Instagram,Social Media,6473,684,0.0,0.035,7658
Foodies,Website,Influencer,9405,607,0.0,0.06,10418
Health & Wellness,Facebook,Influencer,8200,193,0.0,0.038,10572
Foodies,YouTube,Social Media,8153,853,0.001,0.043,15850
Health & Wellness,Email,Search,5044,741,0.001,0.06,10735
Fashionistas,Website,Social Media,7153,315,0.001,0.066,11086
Tech Enthusiasts,Email,Search,1009,774,0.001,0.039,5897
Fashionistas,Facebook,Social Media,7593,443,0.0,0.067,8111
Fashionistas,Email,Influencer,1070,876,0.001,0.035,16896
Foodies,YouTube,Display,8592,634,0.0,0.068,7543
Fashionistas,YouTube,Influencer,8344,437,0.0,0.043,13877
Fashionistas,Google Ads,Email,6788,955,0.0,0.05,6003
Fashionistas,Google Ads,Email,6852,642,0.001,0.047,6039
Tech Enthusiasts,Website,Social Media,8929,429,0.001,0.046,8082
Health & Wellness,Website,Search,9763,313,0.001,0.029,15258
Health & Wellness,YouTube,Influencer,9041,913,0.002,0.024,6307
Health & Wellness,Facebook,Display,6195,477,0.001,0.021,16712
Outdoor Adventurers,Facebook,Influencer,8531,274,0.0,0.031,19108
Foodies,Instagram,Social Media,3488,716,0.0,0.066,18553
Fashionistas,Website,Display,5976,512,0.001,0.05,7295
Health & Wellness,Google Ads,Email,3404,289,0.001,0.057,17149
Tech Enthusiasts,Facebook,Display,9409,296,0.001,0.02,16753
Foodies,Email,Influencer,6289,252,0.001,0.077,6947
Tech Enthusiasts,Website,Influencer,6659,713,0.001,0.041,17625
Outdoor Adventurers,Email,Influencer,1947,817,0.001,0.05,14867
Health & Wellness,Facebook,Search,3045,305,0.001,0.043,16891
Foodies,Website,Influencer,4643,562,0.001,0.022,10127
Foodies,Facebook,Display,5446,342,0.001,0.026,10722
Tech Enthusiasts,Facebook,Influencer,1853,757,0.001,0.066,16939
Fashionistas,Website,Email,8012,570,0.0,0.079,19652
Tech Enthusiasts,Email,Influencer,5239,540,0.001,0.056,6981
Outdoor Adventurers,Facebook,Influencer,3074,136,0.001,0.041,8178
Fashionistas,Website,Search,6000,437,0.001,0.04,14769
Fashionistas,Google Ads,Display,5802,108,0.001,0.042,16213
Fashionistas,YouTube,Display,4617,628,0.0,0.04,17548
Outdoor Adventurers,Google Ads,Email,6558,233,0.001,0.026,19773
Foodies,Instagram,Social Media,5159,690,0.001,0.077,5918
Outdoor Adventurers,Google Ads,Social Media,8891,733,0.001,0.06,5484
Foodies,Google Ads,Social Media,8361,915,0.001,0.023,11563
Tech Enthusiasts,Facebook,Email,4013,629,0.001,0.044,19487
Health & Wellness,Instagram,Social Media,9363,645,0.002,0.056,10472
Foodies,YouTube,Display,4689,219,0.001,0.076,10254
Health & Wellness,Facebook,Influencer,2514,535,0.001,0.078,17205
Health & Wellness,Email,Display,5660,393,0.001,0.06,11440
Outdoor Adventurers,Instagram,Search,7195,255,0.001,0.071,19035
Fashionistas,YouTube,Search,4878,772,0.001,0.052,11780
Health & Wellness,Website,Social Media,9344,782,0.0,0.049,8482
Fashionistas,Instagram,Social Media,2216,212,0.001,0.037,12081
Outdoor Adventurers,Email,Email,2386,410,0.001,0.051,7004
Fashionistas,Google Ads,Display,7410,455,0.002,0.055,15136
Health & Wellness,Google Ads,Social Media,1386,111,0.0,0.056,6955
Foodies,Website,Email,5383,112,0.001,0.04,14277
Foodies,YouTube,Influencer,9984,595,0.0,0.028,8244
Health & Wellness,Google Ads,Influencer,8682,158,0.001,0.05,5140
Health & Wellness,Email,Social Media,6162,770,0.001,0.038,19718
Foodies,Google Ads,Display,9063,912,0.0,0.044,13409
Outdoor Adventurers,Instagram,Display,5626,900,0.001,0.056,11157
Fashionistas,Facebook,Influencer,3757,232,0.001,0.06,19626
Health & Wellness,Google Ads,Display,6145,866,0.001,0.072,17651
Tech Enthusiasts,Instagram,Social Media,3682,424,0.001,0.022,15845
Health & Wellness,Google Ads,Search,9297,938,0.0,0.027,18074
Foodies,YouTube,Email,8606,756,0.001,0.04,14636
Outdoor Adventurers,Instagram,Social Media,5814,549,0.001,0.034,14689
Fashionistas,Facebook,Influencer,1727,605,0.001,0.031,8312
Health & Wellness,Instagram,Influencer,5962,880,0.002,0.055,12907
Outdoor Adventurers,Google Ads,Email,4637,681,0.001,0.049,5517
Outdoor Adventurers,Website,Search,4130,326,0.001,0.051,19241
Fashionistas,Facebook,Email,5370,571,0.001,0.036,9422
Outdoor Adventurers,Google Ads,Search,5636,137,0.001,0.08,15907
Health & Wellness,YouTube,Email,5640,568,0.0,0.08,12085
Foodies,Email,Email,3200,623,0.001,0.066,7232
Foodies,Instagram,Influencer,8452,567,0.0,0.049,15071
Foodies,Instagram,Search,1293,330,0.001,0.078,14873
Outdoor Adventurers,Google Ads,Social Media,3142,804,0.0,0.051,7690
Foodies,Email,Social Media,1311,208,0.001,0.037,6844
Foodies,Google Ads,Influencer,6155,429,0.0,0.032,5997
Health & Wellness,YouTube,Email,4911,432,0.001,0.077,9571
Health & Wellness,Email,Email,2569,563,0.001,0.025,9916
Fashionistas,Instagram,Search,3836,369,0.0,0.036,7080
Health & Wellness,Facebook,Influencer,1490,134,0.0,0.029,12983
Health & Wellness,Website,Search,2162,443,0.0,0.043,7204
Foodies,Google Ads,Display,5023,173,0.0,0.029,7834
Fashionistas,Email,Display,8327,920,0.001,0.076,8596
Fashionistas,Website,Email,1572,862,0.001,0.06,19967
Health & Wellness,Google Ads,Social Media,5197,835,0.001,0.058,8413
Outdoor Adventurers,Website,Social Media,7092,997,0.001,0.074,9338
Health & Wellness,Website,Search,8765,547,0.001,0.037,10539
Outdoor Adventurers,Email,Display,2846,989,0.0,0.066,15149
Fashionistas,Google Ads,Search,3544,681,0.001,0.044,19686
Tech Enthusiasts,Facebook,Display,3748,458,0.001,0.051,19114
Health & Wellness,Instagram,Email,9978,694,0.001,0.046,11725
Tech Enthusiasts,Facebook,Email,8465,705,0.0,0.062,8011
Fashionistas,YouTube,Display,3003,876,0.001,0.05,11906
Outdoor Adventurers,YouTube,Search,2276,883,0.001,0.039,6847
Health & Wellness,Facebook,Display,4827,330,0.001,0.044,5768
Outdoor Adventurers,Google Ads,Email,5714,274,0.001,0.058,16794
Outdoor Adventurers,Website,Social Media,4836,378,0.0,0.03,14198
Fashionistas,Email,Display,8861,489,0.001,0.078,19647
Health & Wellness,Google Ads,Display,4075,347,0.0,0.068,15075
Tech Enthusiasts,Website,Search,6100,963,0.0,0.077,5352
Outdoor Adventurers,Website,Influencer,8051,559,0.001,0.053,15176
Foodies,Google Ads,Influencer,4624,923,0.0,0.068,13775
Tech Enthusiasts,YouTube,Search,2462,563,0.001,0.03,11287
Outdoor Adventurers,Google Ads,Search,4763,428,0.0,0.079,18264
Tech Enthusiasts,Email,Social Media,9624,330,0.0,0.032,16140
Fashionistas,YouTube,Influencer,1249,377,0.001,0.071,13430
Fashionistas,Google Ads,Display,7256,408,0.0,0.077,6669
Health & Wellness,Facebook,Search,8402,649,0.001,0.069,5914
Tech Enthusiasts,Email,Influencer,9174,957,0.0,0.058,7221
Fashionistas,Instagram,Influencer,6471,138,0.001,0.046,9651
Health & Wellness,Facebook,Influencer,2830,158,0.001,0.047,19996
Health & Wellness,YouTube,Email,1298,618,0.001,0.06,13735
Fashionistas,Google Ads,Display,7840,407,0.001,0.053,18324
Health & Wellness,Facebook,Email,5229,428,0.001,0.075,18261
Tech Enthusiasts,YouTube,Email,6204,635,0.001,0.055,19469
Foodies,Google Ads,Influencer,6652,663,0.0,0.025,9392
Outdoor Adventurers,Website,Search,2413,994,0.001,0.073,19672
Health & Wellness,Facebook,Social Media,2011,917,0.001,0.066,14801
Tech Enthusiasts,Website,Influencer,6238,588,0.001,0.032,12328
Foodies,Email,Email,7129,283,0.001,0.057,19812
Fashionistas,Website,Social Media,7900,541,0.001,0.074,7074
Health & Wellness,Website,Influencer,8036,447,0.0,0.052,13203
Health & Wellness,YouTube,Display,8790,458,0.0,0.04,7867
Tech Enthusiasts,Facebook,Email,7952,100,0.001,0.032,17119
Tech Enthusiasts,Email,Social Media,1909,866,0.001,0.041,10754
Tech Enthusiasts,Instagram,Search,6356,666,0.001,0.054,8481
Fashionistas,Website,Social Media,7635,949,0.001,0.075,6198
Tech Enthusiasts,Email,Display,5173,930,0.001,0.043,11755
Tech Enthusiasts,Facebook,Display,4370,384,0.0,0.021,16703
Outdoor Adventurers,Website,Display,4832,321,0.0,0.045,15430
Tech Enthusiasts,Website,Search,8130,402,0.0,0.07,9870
Tech Enthusiasts,Email,Display,7382,838,0.001,0.05,11311
Fashionistas,Email,Email,4482,366,0.0,0.042,7374
Foodies,Instagram,Social Media,4476,215,0.0,0.08,15450
Tech Enthusiasts,Google Ads,Email,6600,364,0.001,0.054,16235
Foodies,Facebook,Influencer,7315,933,0.001,0.048,9128
Tech Enthusiasts,Email,Email,4557,846,0.0,0.032,19585
Health & Wellness,Website,Search,5446,451,0.001,0.048,18200
Health & Wellness,Instagram,Email,6446,412,0.0,0.076,9446
Health & Wellness,Facebook,Display,1228,598,0.001,0.063,17072
Health & Wellness,Website,Display,8418,927,0.001,0.057,11801
Health & Wellness,Email,Email,5125,346,0.001,0.024,7902
Health & Wellness,Google Ads,Email,6485,227,0.001,0.058,14279
Health & Wellness,Instagram,Display,1429,870,0.001,0.042,6759
Foodies,Facebook,Influencer,1547,866,0.001,0.074,9430
Outdoor Adventurers,Email,Search,7469,742,0.0,0.05,7073
Health & Wellness,Email,Search,9884,325,0.001,0.055,8029
Foodies,Google Ads,Influencer,1009,619,0.001,0.025,6929
Tech Enthusiasts,Email,Social Media,3348,379,0.001,0.024,8875
Tech Enthusiasts,Website,Influencer,8853,484,0.001,0.032,10703
Tech Enthusiasts,YouTube,Influencer,1357,529,0.001,0.044,11147
Foodies,YouTube,Search,4527,286,0.001,0.023,15948
Outdoor Adventurers,Facebook,Influencer,5936,316,0.0,0.029,10967
Outdoor Adventurers,Instagram,Social Media,1532,440,0.001,0.075,17003
Outdoor Adventurers,Email,Email,1032,850,0.001,0.036,10472
Health & Wellness,Instagram,Search,3593,359,0.0,0.074,5753
Fashionistas,Instagram,Influencer,6418,258,0.001,0.02,6527
Foodies,Website,Influencer,3829,565,0.001,0.036,11789
Tech Enthusiasts,Google Ads,Display,8368,111,0.0,0.064,14370
Health & Wellness,Instagram,Display,7334,532,0.001,0.076,16281
Tech Enthusiasts,Google Ads,Display,4415,208,0.0,0.079,6317
Foodies,Website,Email,1677,673,0.001,0.042,19070
Foodies,Google Ads,Display,3685,708,0.0,0.065,14897
Tech Enthusiasts,Email,Email,7763,808,0.001,0.054,19730
Outdoor Adventurers,Google Ads,Social Media,8763,616,0.001,0.072,6625
Health & Wellness,Instagram,Social Media,6656,898,0.0,0.045,15120
Foodies,Instagram,Email,6823,854,0.001,0.061,16773
Foodies,Facebook,Influencer,8963,671,0.001,0.063,19496
Fashionistas,Facebook,Search,1486,995,0.001,0.036,15698
Health & Wellness,Google Ads,Social Media,4766,228,0.001,0.048,18846
Health & Wellness,Instagram,Social Media,3795,947,0.0,0.053,9768
Fashionistas,Facebook,Social Media,6083,136,0.0,0.054,19992
Tech Enthusiasts,Website,Email,6732,607,0.001,0.046,7474
Health & Wellness,Email,Search,8819,278,0.0,0.06,16476
Foodies,YouTube,Display,8181,733,0.001,0.06,18266
Tech Enthusiasts,Google Ads,Social Media,7280,479,0.0,0.03,17902
Foodies,Google Ads,Influencer,7942,388,0.0,0.07,8688
Foodies,Instagram,Display,2679,788,0.001,0.047,6683
Fashionistas,Facebook,Email,2517,518,0.0,0.066,13317
Outdoor Adventurers,Google Ads,Influencer,5062,830,0.001,0.075,14793
Tech Enthusiasts,Website,Search,7261,109,0.0,0.067,17537
Health & Wellness,Google Ads,Display,7412,448,0.001,0.068,19364
Outdoor Adventurers,Website,Email,3331,102,0.0,0.07,16679
Outdoor Adventurers,Google Ads,Email,9029,181,0.0,0.077,7667
Foodies,YouTube,Influencer,2398,354,0.001,0.072,11446
Foodies,Facebook,Display,4582,276,0.001,0.031,18000
Health & Wellness,YouTube,Social Media,9976,795,0.001,0.065,6794
Health & Wellness,Website,Influencer,9549,453,0.0,0.062,10002
Tech Enthusiasts,Email,Influencer,5327,365,0.0,0.073,15225
Foodies,YouTube,Search,9681,238,0.0,0.056,7469
Health & Wellness,YouTube,Search,6560,159,0.001,0.076,5668
Health & Wellness,Website,Social Media,2820,375,0.001,0.027,17732
Tech Enthusiasts,YouTube,Influencer,5366,294,0.001,0.055,11799
Fashionistas,YouTube,Influencer,5239,436,0.0,0.065,12951
Health & Wellness,Website,Email,9851,459,0.001,0.078,19135
Health & Wellness,Facebook,Display,1843,311,0.001,0.077,16013
Fashionistas,YouTube,Email,4173,454,0.001,0.07,10899
Outdoor Adventurers,Website,Influencer,2717,571,0.001,0.024,15688
Foodies,Facebook,Display,2397,275,0.001,0.043,14739
Health & Wellness,YouTube,Email,4278,345,0.001,0.08,11433
Outdoor Adventurers,Google Ads,Influencer,7743,802,0.001,0.075,10272
Outdoor Adventurers,Google Ads,Display,9025,650,0.001,0.052,8637
Tech Enthusiasts,YouTube,Email,9669,361,0.001,0.059,7477
Tech Enthusiasts,Instagram,Display,8580,778,0.0,0.067,18006
Health & Wellness,Facebook,Email,7227,352,0.001,0.073,18336
Tech Enthusiasts,YouTube,Search,6185,142,0.001,0.023,16656
Fashionistas,Instagram,Social Media,9350,903,0.0,0.041,11311
Foodies,Facebook,Display,8224,135,0.001,0.077,10439
Health & Wellness,YouTube,Search,8776,650,0.002,0.046,11576
Health & Wellness,Facebook,Display,1841,639,0.0,0.029,8391
Foodies,YouTube,Social Media,9881,956,0.001,0.033,19951
Fashionistas,Google Ads,Email,5604,166,0.0,0.037,5474
Foodies,YouTube,Search,3627,795,0.001,0.022,19441
Health & Wellness,Website,Display,4477,775,0.001,0.066,6347
Fashionistas,Email,Social Media,5837,868,0.001,0.061,19494
Tech Enthusiasts,Google Ads,Search,5147,282,0.002,0.063,5136
Tech Enthusiasts,YouTube,Search,5994,432,0.001,0.04,13448
Health & Wellness,Instagram,Email,7744,918,0.001,0.044,13124
Health & Wellness,Website,Influencer,6913,266,0.001,0.022,19703
Health & Wellness,Instagram,Search,1101,458,0.001,0.023,11183
Foodies,Website,Display,2321,186,0.001,0.069,11383
Tech Enthusiasts,Facebook,Display,2736,815,0.001,0.031,19584
Fashionistas,YouTube,Search,3134,414,0.0,0.022,11286
Tech Enthusiasts,Website,Email,9502,876,0.001,0.067,15986
Foodies,Email,Social Media,7189,409,0.0,0.044,16249
Outdoor Adventurers,Instagram,Search,2342,999,0.002,0.068,15370
Outdoor Adventurers,YouTube,Display,4927,562,0.0,0.078,14197
Outdoor Adventurers,YouTube,Display,3734,503,0.001,0.03,15313
Fashionistas,Google Ads,Influencer,2545,881,0.001,0.033,8637
Health & Wellness,Facebook,Social Media,3354,656,0.001,0.067,19546
Fashionistas,Google Ads,Search,3130,236,0.0,0.07,8143
Health & Wellness,Website,Email,9247,656,0.001,0.052,16777
Health & Wellness,YouTube,Social Media,3949,968,0.001,0.052,17908
Tech Enthusiasts,Google Ads,Influencer,2819,821,0.001,0.058,17937
Foodies,Email,Display,5004,204,0.0,0.048,7987
Foodies,YouTube,Email,7332,569,0.0,0.057,10894
Health & Wellness,Google Ads,Email,2628,958,0.001,0.024,14340
Foodies,Email,Influencer,2581,345,0.001,0.07,12755
Outdoor Adventurers,Instagram,Social Media,9438,315,0.0,0.064,12501
Tech Enthusiasts,Website,Search,6520,272,0.001,0.076,9681
Foodies,YouTube,Display,5905,220,0.0,0.024,17491
Foodies,Instagram,Search,2422,642,0.001,0.042,15011
Outdoor Adventurers,Facebook,Social Media,8138,104,0.001,0.068,6783
Tech Enthusiasts,Website,Search,8977,125,0.001,0.072,6285
Fashionistas,Google Ads,Display,2740,749,0.001,0.021,5856
Health & Wellness,Website,Search,3595,525,0.0,0.055,15774
Fashionistas,Instagram,Influencer,3397,844,0.001,0.078,15476
